Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
1,50000,4,0,29.644,2.76964,14.6426,0,8737156
5,50000,4,0,28.3428,4.08166,4.19262,0,8737156
10,50000,4,0,28.1042,5.65515,6.85799,0,8737156
20,50000,4,0,28.0923,8.15495,3.433,0,8737156
50,50000,4,0,27.5269,14.316,1.98649,0,8737156
