Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
50,100000,16,0,27.2034,20.7056,0,8.6878,8737156
50,100000,16,25,3.55694,1.12492,0,0.552514,629313
50,100000,16,50,0.260762,0.089841,0,0.0599968,77892
50,100000,16,70,0.0278191,0.00804862,0,0.00494716,6920
50,100000,16,90,0.00228815,0.000102533,0,6.2266e-05,82
