Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
500,50000,4,25,3.09122,1.89985,0.152635,0,629313
500,100000,4,25,3.11059,1.8925,0.171514,0,629313
500,400000,4,25,3.07797,1.81697,0.162271,0,629313
500,10000,8,25,3.07261,2.87045,0.148204,0,629313
500,50000,8,25,3.08178,2.87338,0.162247,0,629313
500,100000,8,25,3.10046,2.83821,0.164475,0,629313
500,400000,8,25,3.12069,1.8638,0.15693,0,629313
500,10000,16,25,3.13707,2.67778,0.16068,0,629313
500,50000,16,25,3.0901,2.65321,0.149906,0,629313
500,100000,16,25,3.09689,2.83029,0.156487,0,629313
500,400000,16,25,3.18052,1.86661,0.170862,0,629313
4000,10000,1,25,3.10489,3.21957,0.329813,0,629313
4000,10000,2,25,3.11294,4.12081,0.152298,0,629313
4000,50000,2,25,3.07604,4.18713,0.16967,0,629313
4000,100000,2,25,3.127,4.1344,0.147611,0,629313
4000,400000,2,25,3.08318,4.35244,0.149981,0,629313
4000,10000,4,25,3.11584,4.23675,0.155271,0,629313
4000,50000,4,25,3.16024,4.24489,0.150434,0,629313
4000,100000,4,25,3.10049,4.22547,0.150665,0,629313
4000,400000,4,25,3.0843,4.23469,0.150818,0,629313
4000,10000,8,25,3.11634,6.30158,0.14793,0,629313
4000,50000,8,25,3.13841,6.46671,0.153695,0,629313
4000,100000,8,25,3.08297,6.4622,0.148537,0,629313
4000,400000,8,25,3.08891,4.18727,0.152095,0,629313
4000,10000,16,25,3.09875,6.12538,0.154522,0,629313
4000,50000,16,25,3.07284,6.06781,0.146902,0,629313
4000,100000,16,25,3.1034,6.41402,0.156682,0,629313
4000,400000,16,25,3.06296,4.29004,0.155452,0,629313
10000,10000,1,25,3.06359,4.19445,0.145222,0,629313
10000,10000,2,25,3.10277,5.42324,0.157714,0,629313
10000,50000,2,25,3.06902,5.19027,0.156896,0,629313
10000,100000,2,25,3.09012,5.27127,0.154097,0,629313
10000,400000,2,25,3.08423,5.48185,0.152543,0,629313
10000,10000,4,25,3.0671,5.55697,0.155055,0,629313
10000,50000,4,25,3.09218,5.49975,0.161768,0,629313
10000,100000,4,25,3.0896,5.52388,0.151387,0,629313
10000,400000,4,25,3.1176,5.38444,0.152319,0,629313
10000,10000,8,25,3.11374,8.2042,0.152832,0,629313
10000,50000,8,25,3.16204,8.17849,0.150006,0,629313
10000,100000,8,25,3.12759,8.20941,0.150598,0,629313
10000,400000,8,25,3.13411,5.37286,0.158447,0,629313
10000,10000,16,25,3.10448,7.84616,0.161989,0,629313
10000,50000,16,25,3.1298,7.81395,0.15562,0,629313
10000,100000,16,25,3.14527,8.09471,0.158772,0,629313
10000,400000,16,25,3.1393,5.49465,0.15252,0,629313
50,10000,1,50,0.246917,0.0888238,0.0457744,0,77892
50,10000,2,50,0.249804,0.0984952,0.0540555,0,77892
50,50000,2,50,0.244555,0.0977424,0.0546975,0,77892
50,100000,2,50,0.251466,0.0886931,0.101298,0,77892
50,400000,2,50,0.246381,0.0901212,0.0631715,0,77892
50,10000,4,50,0.246337,0.102386,0.0884267,0,77892
50,50000,4,50,0.243079,0.094765,0.0503424,0,77892
50,100000,4,50,0.243896,0.0893286,0.0587489,0,77892
50,400000,4,50,0.245706,0.0885021,0.0633182,0,77892
50,10000,8,50,0.249596,0.126788,0.0808518,0,77892
50,50000,8,50,0.250233,0.0961151,0.0466863,0,77892
50,100000,8,50,0.246696,0.0884864,0.0531568,0,77892
50,400000,8,50,0.248277,0.0895466,0.0504054,0,77892
50,10000,16,50,0.245645,0.148244,0.0593416,0,77892
50,50000,16,50,0.245758,0.0993652,0.085177,0,77892
50,100000,16,50,0.246382,0.0900575,0.0431895,0,77892
50,400000,16,50,0.248027,0.0889812,0.09101,0,77892
500,10000,1,50,0.249678,0.214519,0.0564403,0,77892
500,10000,2,50,0.248631,0.296169,0.055524,0,77892
500,50000,2,50,0.249314,0.297225,0.0458135,0,77892
